iso_ts,seq,temperature_c,humidity_pct,gas_ppm,motion,range_cm,ir_left,ir_right,pan_angle,tilt_angle,fw_state,uptime_ms,lat,lon,gps_fix,gps_sats,serial_ok,ws_clients,turn_status,alert_flags
2026-09-25T18:36:43.853+00:00,1,0,0,975,0,400,0,0,90,90,1,2021,,,0,0,1,0,unavailable,136
2026-09-25T18:36:44.870+00:00,6,0,0,975,0,400,0,0,90,90,1,3001,,,0,0,1,0,unavailable,136
2026-09-25T18:36:46.085+00:00,12,0,0,414,0,400,0,0,90,90,3,4021,,,0,0,1,0,unavailable,128
2026-09-25T18:36:47.333+00:00,18,0,0,414,0,400,0,0,90,90,3,5501,,,0,0,1,0,unavailable,128
2026-09-25T18:36:48.452+00:00,24,0,0,324,0,400,0,0,90,90,3,6500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:49.456+00:00,29,0,0,324,0,400,0,0,90,90,3,7500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:50.698+00:00,35,0,0,298,0,400,0,0,90,90,3,8500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:51.860+00:00,41,0,0,288,0,400,0,0,90,90,3,10020,,,0,0,1,0,unavailable,128
2026-09-25T18:36:53.086+00:00,47,0,0,288,0,400,0,0,90,90,3,11000,,,0,0,1,0,unavailable,128
2026-09-25T18:36:54.108+00:00,52,0,0,284,0,400,0,0,90,90,3,12020,,,0,0,1,0,unavailable,128
2026-09-25T18:36:55.352+00:00,58,0,0,284,0,400,0,0,90,90,3,13500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:56.478+00:00,64,0,0,282,0,400,0,0,90,90,3,14500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:57.702+00:00,70,0,0,282,0,400,0,0,90,90,3,15500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:58.709+00:00,75,0,0,280,0,400,0,0,90,90,3,16500,,,0,0,1,0,unavailable,128
2026-09-25T18:36:59.878+00:00,81,0,0,279,0,400,0,0,90,90,3,18021,,,0,0,1,0,unavailable,128
2026-09-25T18:37:01.083+00:00,87,0,0,279,0,400,0,0,90,90,3,19000,,,0,0,1,0,unavailable,128
2026-09-25T18:37:02.106+00:00,92,0,0,278,0,400,0,0,90,90,3,20021,,,0,0,1,0,unavailable,128
2026-09-25T18:37:03.369+00:00,98,0,0,278,0,400,0,0,90,90,3,21500,,,0,0,1,0,unavailable,128
2026-09-25T18:37:04.467+00:00,104,0,0,278,0,400,0,0,90,90,3,22500,,,0,0,1,0,unavailable,128
2026-09-25T18:37:05.472+00:00,109,0,0,278,0,400,0,0,90,90,3,23500,,,0,0,1,0,unavailable,128
2026-09-25T18:37:06.712+00:00,115,0,0,278,0,400,0,0,90,90,3,24501,,,0,0,1,0,unavailable,128
2026-09-25T18:37:07.715+00:00,120,0,0,278,0,400,0,0,90,90,3,25500,,,0,0,1,0,unavailable,128
2026-09-25T18:37:08.716+00:00,125,0,0,277,0,400,0,0,90,90,3,26502,,,0,0,1,0,unavailable,128
